Болезнь,|X|,|X_m|,ARTM_t2,NB,SA
АЗ,261, , , , 
ММЭ,1022.0,761.0,0.3277,0.3808,2.6108
ХХЭ,784.0,523.0,0.3068,0.3626,1.0369
ВДЭ,949.0,688.0,0.388,0.441,4.3162
ЯБЭ,1027.0,766.0,0.3116,0.3617,2.0181
ГБЭ,2211.0,1950.0,0.1172,0.1983,1.3778
ИБЭ,1564.0,1303.0,0.1921,0.2301,0.9704
СДЭ,1083.0,822.0,0.2398,0.2836,1.0731
МКЭ,840.0,579.0,0.309,0.3578,1.503
ЖКЭ,644.0,383.0,0.3413,0.3927,0.6537
УЩЭ,991.0,730.0,0.3144,0.3612,1.5566
ХГЭ,992.0,731.0,0.2925,0.3433,2.3397
ДЖЭ,975.0,714.0,0.2921,0.3348,1.1398
МТЭ,626.0,365.0,0.3349,0.3778,0.5736
РОЭ,709.0,448.0,0.3452,0.5335,1.5223
ЭА,562.0,301.0,0.5548,0.7008,4.146
ЭГД,545.0,284.0,0.48022,0.5541,0.5354
ОПЭ,505.0,244.0,0.3637,0.327,0.2195
